city,鄉鎮市區,房型,現價(萬/坪),近一年漲跌%,近半年漲跌%,目前PRR,自身PRR中位,同房型跨區PRR中位
台北市,中山區,公寓,70.0,-2.7,-1.3,55.5,55.6,46.0
台北市,中山區,大樓,89.8,3.5,4.2,42.4,42.3,57.6
台北市,中山區,華廈,81.6,-0.5,0.2,48.6,41.5,55.4
台北市,中正區,公寓,76.7,-2.0,-2.0,56.7,57.0,46.0
台北市,中正區,大樓,127.3,-2.0,-11.0,71.1,66.1,57.6
台北市,中正區,華廈,104.2,10.4,3.0,77.7,55.9,55.4
台北市,信義區,公寓,73.1,-0.3,2.9,58.3,58.4,46.0
台北市,信義區,大樓,112.7,-1.3,13.7,35.2,35.4,57.6
台北市,信義區,華廈,92.2,-8.4,-7.6,74.7,61.4,55.4
台北市,內湖區,公寓,59.6,1.2,2.3,54.9,53.1,46.0
台北市,內湖區,大樓,100.2,18.8,11.8,74.6,61.0,57.6
台北市,內湖區,華廈,83.1,-0.2,3.4,70.5,68.4,55.4
台北市,北投區,公寓,50.3,-8.5,-8.8,49.1,51.2,46.0
台北市,北投區,大樓,91.1,39.1,32.4,68.9,50.8,57.6
台北市,北投區,華廈,73.0,21.0,21.9,66.4,53.2,55.4
台北市,南港區,公寓,60.2,-14.4,-3.4,48.9,59.1,46.0
台北市,南港區,大樓,89.0,32.6,0.7,57.6,58.0,57.6
台北市,南港區,華廈,101.7,3.4,2.7,94.0,63.6,55.4
台北市,士林區,公寓,59.6,0.1,-2.8,53.9,55.0,46.0
台北市,士林區,大樓,98.1,6.3,-1.4,56.7,53.4,57.6
台北市,士林區,華廈,72.6,-13.8,-1.7,42.0,42.7,55.4
台北市,士林區,透天,114.8,-6.1,15.1,101.6,71.4,48.9
台北市,大同區,公寓,57.9,-3.8,-5.2,46.9,48.3,46.0
台北市,大同區,大樓,77.4,-12.6,-17.9,34.4,37.0,57.6
台北市,大同區,華廈,88.8,12.3,9.7,57.2,49.6,55.4
台北市,大安區,公寓,89.0,1.3,1.4,65.4,63.9,46.0
台北市,大安區,大樓,127.6,4.3,8.7,68.4,68.2,57.6
台北市,大安區,華廈,101.5,-3.3,-8.7,53.7,59.3,55.4
台北市,文山區,公寓,51.5,-1.4,4.1,48.8,50.2,46.0
台北市,文山區,大樓,76.2,-1.5,7.9,76.0,56.8,57.6
台北市,文山區,華廈,62.4,5.3,0.8,51.7,57.1,55.4
台北市,松山區,公寓,77.3,-0.5,1.2,60.1,60.4,46.0
台北市,松山區,大樓,135.5,13.1,25.7,73.9,58.2,57.6
台北市,松山區,華廈,86.8,-3.1,-1.7,69.8,59.6,55.4
台北市,萬華區,公寓,51.8,1.2,-1.3,45.5,44.6,46.0
台北市,萬華區,大樓,67.7,-10.4,-1.8,51.7,51.2,57.6
台北市,萬華區,華廈,60.9,0.8,-5.1,53.1,52.6,55.4
新北市,三峽區,公寓,24.7,-4.2,-5.8,43.7,42.7,46.0
新北市,三峽區,大樓,43.2,-18.8,-16.5,80.0,74.9,57.6
新北市,三峽區,華廈,38.0,15.1,23.2,60.1,53.5,55.4
新北市,三芝區,大樓,14.5,9.7,1.0,41.8,33.6,57.6
新北市,三芝區,華廈,12.7,-7.2,-12.3,30.1,30.8,55.4
新北市,三重區,公寓,45.2,-6.3,-2.5,44.2,44.2,46.0
新北市,三重區,大樓,62.6,13.2,-0.4,54.2,47.8,57.6
新北市,三重區,華廈,48.7,-1.9,-7.5,48.4,52.4,55.4
新北市,三重區,透天,63.6,3.4,-9.6,78.2,79.4,48.9
新北市,中和區,公寓,44.5,-3.2,0.3,46.2,46.2,46.0
新北市,中和區,大樓,58.6,-9.0,-5.1,56.8,60.6,57.6
新北市,中和區,華廈,55.0,-3.2,50.4,54.8,55.2,55.4
新北市,五股區,公寓,28.2,1.4,9.2,43.0,40.5,46.0
新北市,五股區,大樓,48.3,8.3,6.1,69.2,63.8,57.6
新北市,五股區,華廈,33.0,-11.0,-2.7,48.3,54.3,55.4
新北市,八里區,大樓,30.0,2.1,-0.0,54.0,56.3,57.6
新北市,八里區,華廈,25.2,29.9,4.2,48.5,40.6,55.4
新北市,土城區,公寓,39.8,-4.9,-2.5,45.8,45.8,46.0
新北市,土城區,大樓,55.4,27.1,9.9,63.2,60.4,57.6
新北市,土城區,華廈,45.6,0.0,-1.1,56.0,55.2,55.4
新北市,新店區,公寓,39.3,-3.5,2.0,43.6,45.8,46.0
新北市,新店區,大樓,62.9,-0.1,3.8,66.6,67.1,57.6
新北市,新店區,華廈,42.8,-6.4,11.4,47.2,47.2,55.4
新北市,新店區,透天,31.9,-13.0,-0.4,35.9,45.4,48.9
新北市,新莊區,公寓,37.7,-3.3,-3.3,42.6,44.6,46.0
新北市,新莊區,大樓,63.1,16.0,5.9,67.5,58.5,57.6
新北市,新莊區,華廈,45.8,-7.4,-9.8,55.0,56.0,55.4
新北市,板橋區,公寓,44.3,-2.7,-3.9,46.6,47.9,46.0
新北市,板橋區,大樓,59.4,-1.7,-4.3,56.1,58.2,57.6
新北市,板橋區,華廈,50.9,0.2,-5.7,60.8,59.1,55.4
新北市,板橋區,透天,60.8,-13.7,0.7,68.5,89.2,48.9
新北市,林口區,公寓,27.1,-10.3,4.0,29.7,31.5,46.0
新北市,林口區,大樓,51.0,14.9,6.9,65.3,56.8,57.6
新北市,林口區,華廈,45.9,9.7,1.8,55.1,60.0,55.4
新北市,林口區,透天,43.4,9.1,13.7,48.9,49.7,48.9
新北市,樹林區,公寓,29.7,-7.7,-4.4,42.1,43.2,46.0
新北市,樹林區,大樓,46.1,10.7,2.8,63.2,60.6,57.6
新北市,樹林區,華廈,36.7,2.6,-5.7,72.8,53.3,55.4
新北市,樹林區,透天,37.4,-11.8,16.0,50.9,48.9,48.9
新北市,永和區,公寓,50.3,-3.7,-2.6,47.7,49.1,46.0
新北市,永和區,大樓,64.5,-5.9,-6.6,57.7,60.6,57.6
新北市,永和區,華廈,58.9,-4.6,-13.8,59.1,63.0,55.4
新北市,汐止區,公寓,30.5,-7.8,-4.3,37.7,41.2,46.0
新北市,汐止區,大樓,42.6,3.6,4.7,48.0,48.3,57.6
新北市,汐止區,華廈,45.4,0.1,-2.3,50.6,52.9,55.4
新北市,汐止區,透天,28.5,-16.3,-5.5,32.1,40.1,48.9
新北市,泰山區,公寓,33.2,-7.8,-1.3,44.3,40.3,46.0
新北市,泰山區,大樓,53.2,-2.0,-4.2,67.7,61.4,57.6
新北市,泰山區,華廈,43.9,-8.9,1.5,55.6,58.8,55.4
新北市,淡水區,公寓,20.7,-1.2,0.7,31.7,34.0,46.0
新北市,淡水區,大樓,35.1,7.1,2.7,54.6,49.2,57.6
新北市,淡水區,華廈,30.9,-5.9,-7.5,54.3,48.3,55.4
新北市,淡水區,透天,31.4,3.8,10.8,35.4,39.1,48.9
新北市,深坑區,大樓,37.2,6.2,7.9,48.1,49.4,57.6
新北市,深坑區,華廈,37.9,9.7,-0.8,59.7,49.2,55.4
新北市,瑞芳區,公寓,9.7,-12.3,-11.6,20.1,25.5,46.0
新北市,萬里區,公寓,6.6,19.7,15.9,14.9,8.4,46.0
新北市,萬里區,大樓,16.4,-35.4,5.5,20.9,25.1,57.6
新北市,蘆洲區,公寓,40.3,-3.5,-3.3,46.9,47.0,46.0
新北市,蘆洲區,大樓,61.5,9.6,12.3,61.0,62.1,57.6
新北市,蘆洲區,華廈,57.5,10.5,2.7,69.0,61.2,55.4
新北市,金山區,華廈,24.5,50.5,14.9,31.2,27.5,55.4
新北市,鶯歌區,公寓,22.5,-5.9,1.6,37.1,36.4,46.0
新北市,鶯歌區,大樓,34.3,11.0,13.9,50.6,47.9,57.6
新北市,鶯歌區,華廈,32.4,12.2,12.8,60.7,59.8,55.4
新北市,鶯歌區,透天,33.4,-0.3,14.4,37.6,40.7,48.9
